Main Muscle Group,Sub Muscle Group,Exercise,Level,U/L/C,P / P,Modality,Joint
Abs,Abs,Full Reverse Crunch,Advanced,Core,Push,FW,M
Abs,Abs,Incline Hip Thrust,Advanced,Core,Push,FW,M
Abs,Abs,Incline Reverse Crunch,Advanced,Core,Push,FW,M
Abs,Abs,Lying Hip Thrust,Advanced,Core,Push,FW,M
Abs,Abs,Reverse Crunch,Beginner,Core,Push,FW,M
Abs,Abs,Reverse Medicine Ball Crunch,Advanced,Core,Push,FW,M
Abs,Obliques,Alternating Heel Touch,Beginner,Core,Push,FW,M
Abs,Obliques,Bent-Knee Medicine Ball Hip Rotation,Advanced,Core,Push,FW,M
Abs,Obliques,Cable Chop,Advanced,Core,Push,C,M
Abs,Obliques,Cross Crunch,Beginner,Core,Push,FW,M
Abs,Obliques,Cross Crunch w/ Medicine Ball,Advanced,Core,Push,FW,M
Abs,Obliques,Decline Cross Sit-Up,Advanced,Core,Push,FW,M
Abs,Obliques,Decline Sit-Up w/ Twist,Advanced,Core,Push,FW,M
Abs,Obliques,Reverse Cable Chop,Advanced,Core,Push,C,M
Abs,Obliques,Seated Medicine Ball Twist,Advanced,Core,Push,FW,M
Abs,Obliques,Trunk Rotator,Advanced,Core,Push,FW,M
Abs,Abs,Front Plank (from knees),Beginner,Core,Static,FW,M
Abs,Abs,Front Plank (from toes),Intermediate,Core,Static,FW,M
Abs,Abs,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Advanced,Core,Static,FW,M
Abs,Abs,Side-Plank (from knees),Intermediate,Core,Static,FW,M
Abs,Abs,Side-Plank (hip lift),Beginner,Core,Static,FW,M
Abs,Abs,Side-Plank (from toes),Advanced,Core,Static,FW,M
Abs,Abs,Ab Cycle,Advanced,Core,Push,FW,M
Abs,Abs,Kneeling Ab Rollout,Intermediate,Core,Push,FW,M
Abs,Abs,Medicine Ball V-Up,Advanced,Core,Push,FW,M
Abs,Abs,V-Up,Beginner,Core,Push,FW,M
Abs,Abs,Weighted V-Up,Intermediate,Core,Push,FW,M
Abs,Abs,Bent Knee Sit-Up,Beginner,Core,Push,FW,M
Abs,Abs,Bent-Knee Crunch,Beginner,Core,Push,FW,M
Abs,Abs,Crunch,Beginner,Core,Push,FW,M
Abs,Abs,Crunch,Beginner,Core,Push,FW,M
Abs,Abs,Decline Crunch,Advanced,Core,Push,FW,M
Abs,Abs,Decline Sit-Up,Advanced,Core,Push,FW,M
Abs,Abs,Heel Touch,Beginner,Core,Push,FW,M
Abs,Abs,Sit-Up,Beginner,Core,Push,FW,M
Abs,Abs,Weighted Crunch,Intermediate,Core,Push,FW,M
Back,Lats,Assisted Pull-Up,Beginner,Upper,Pull,FW,M
Back,Lats,Close-Grip Lat Pulldown,Beginner,Upper,Pull,M,M
Back,Lats,Inverted Pull-Up,Advanced,Upper,Pull,FW,M
Back,Lats,Lat Pulldown,Beginner,Upper,Pull,C,M
Back,Lats,Pull-Up,Beginner,Upper,Pull,FW,M
Back,Lats,Reverse-Grip Lat Pullown,Intermediate,Upper,Pull,C,M
Back,Lats,Reverse-Grip Pull-Up,Advanced,Upper,Pull,FW,M
Back,Lats,V-Bar Pull-Up,Advanced,Upper,Pull,FW,M
Back,Lats,Wide-Grip Lat Pulldown,Beginner,Upper,Pull,C,M
Back,Lats,Bent-Over Alternating Dumbbell Row,Intermediate,Upper,Pull,FW,M
Back,Lats,Bent-Over Barbell Row,Beginner,Upper,Pull,FW,M
Back,Lats,Bent-Over Dumbbell Row,Beginner,Upper,Pull,FW,M
Back,Lats,Bent-Over Hammer Dumbbell Row,Beginner,Upper,Pull,FW,M
Back,Lats,Bent-Over Long Barbell Row,Intermediate,Upper,Pull,FW,M
Back,Lats,Bent-Over Reverse-Grip Barbell Row,Advanced,Upper,Pull,FW,M
Back,Lats,Bent-Over Single-Arm Long Barbell Row,Advanced,Upper,Pull,FW,M
Back,Lats,Machine Row,Beginner,Upper,Pull,M,M
Back,Lats,One Arm Dumbbell Row,Beginner,Upper,Pull,FW,M
Back,Lats,Reverse Incline Dumbbell Row,Advanced,Upper,Pull,FW,M
Back,Lats,Rope Cable Row,Intermediate,Upper,Pull,C,M
Back,Lats,Seated Cable Row,Beginner,Upper,Pull,C,M
Back,Lats,Seated Row,Beginner,Upper,Pull,C,M
Back,Lats,Single-Arm Cable Row,Intermediate,Upper,Pull,C,M
